sequence,W2,W1,L1,L2,StudyDay,type
1,tryghed,security,"After retiring, financial security is very important.",Efter at have trukket mig tilbage er økonomisk tryghed meget vigtig.,2,macro_review
2,akkord,chord,The guitarist played a complex diminished chord.,Guitaristen spillede en kompleks formindsket akkord.,2,macro_review
3,mangle,lack,I realize I am missing one of my essential kitchen tools.,"Jeg er klar over, at jeg mangler et af mine essentielle køkkenredskaber.",2,macro_review
4,tilpasning,adaptation,Successful improvisation relies on quick adaptation.,Succesfuld improvisation afhænger af hurtig tilpasning.,2,macro_review
5,indkøb,shopping,I will handle the shopping for the household today.,Jeg tager mig af indkøbene til husholdningen i dag.,2,macro_review
6,mæt,full,The high-fat diet keeps me feeling full for hours.,Den fedtrige kost holder mig mæt i timevis.,2,macro_review
7,tilfældighed,chance,Musical inspiration often happens by chance or accident.,Musisk inspiration sker ofte ved tilfældighed eller uheld.,4,macro_review
8,udfordring,challenge,The new lifestyle is proving to be a nutritional challenge.,Den nye livsstil viser sig at være en ernæringsmæssig udfordring.,4,macro_review
9,aftale,agreement,We made an agreement to meet next Tuesday at noon.,Vi lavede en aftale om at mødes næste tirsdag middag.,4,macro_review
10,ønske,wish,I wish I could play the guitar just like that master.,"Jeg ønsker, at jeg kunne spille guitar ligesom den mester.",4,macro_review
11,rolig,calm,"After years of working, retirement should be a calm phase.",Efter mange års arbejde burde pensionisttilværelsen være en rolig fase.,4,macro_review
12,frasering,phrasing,Good improvisation is all about melodic phrasing.,God improvisation handler om melodisk frasering.,4,macro_review
13,smør,butter,I add a tablespoon of butter to my coffee every morning.,Jeg tilføjer en spiseskefuld smør til min kaffe hver morgen.,4,macro_review
14,arbejdsplads,workplace,"I miss my old workplace, but not the stress.","Jeg savner min gamle arbejdsplads, men ikke stresset.",5,micro_new
15,spørge,ask,"If you are unsure, you must ask the receptionist.","Hvis du er usikker, skal du spørge receptionisten.",5,micro_new
16,teknik,technique,Mastering the slide guitar technique takes many hours.,At mestre slide guitar teknikken tager mange timer.,5,micro_new
17,resultat,result,The test results showed a positive change in blood work.,Testresultaterne viste en positiv ændring i blodprøverne.,5,micro_new
18,plads,space,Is there enough space left in the car for this box?,Er der plads nok tilbage i bilen til denne kasse?,5,micro_new
19,glemme,forget,Please don't forget your guitar picks before you leave.,"Glem venligst ikke dine guitarplektre, før du tager af sted.",5,micro_new
