sequence,W2,W1,L1,L2,StudyDay,type
1,arbejdsplads,workplace,"I miss my old workplace, but not the stress.","Jeg savner min gamle arbejdsplads, men ikke stresset.",5,micro_new
2,spørge,ask,"If you are unsure, you must ask the receptionist.","Hvis du er usikker, skal du spørge receptionisten.",5,micro_new
3,teknik,technique,Mastering the slide guitar technique takes many hours.,At mestre slide guitar teknikken tager mange timer.,5,micro_new
4,arbejdsplads,workplace,"I miss my old workplace, but not the stress.","Jeg savner min gamle arbejdsplads, men ikke stresset.",5,micro_new
5,resultat,result,The test results showed a positive change in blood work.,Testresultaterne viste en positiv ændring i blodprøverne.,5,micro_new
6,spørge,ask,"If you are unsure, you must ask the receptionist.","Hvis du er usikker, skal du spørge receptionisten.",5,micro_new
7,plads,space,Is there enough space left in the car for this box?,Er der plads nok tilbage i bilen til denne kasse?,5,micro_new
8,teknik,technique,Mastering the slide guitar technique takes many hours.,At mestre slide guitar teknikken tager mange timer.,5,micro_new
9,glemme,forget,Please don't forget your guitar picks before you leave.,"Glem venligst ikke dine guitarplektre, før du tager af sted.",5,micro_new
10,resultat,result,The test results showed a positive change in blood work.,Testresultaterne viste en positiv ændring i blodprøverne.,5,micro_new
11,plads,space,Is there enough space left in the car for this box?,Er der plads nok tilbage i bilen til denne kasse?,5,micro_new
12,glemme,forget,Please don't forget your guitar picks before you leave.,"Glem venligst ikke dine guitarplektre, før du tager af sted.",5,micro_new
13,arbejdsplads,workplace,"I miss my old workplace, but not the stress.","Jeg savner min gamle arbejdsplads, men ikke stresset.",5,micro_new
14,spørge,ask,"If you are unsure, you must ask the receptionist.","Hvis du er usikker, skal du spørge receptionisten.",5,micro_new
15,teknik,technique,Mastering the slide guitar technique takes many hours.,At mestre slide guitar teknikken tager mange timer.,5,micro_new
16,resultat,result,The test results showed a positive change in blood work.,Testresultaterne viste en positiv ændring i blodprøverne.,5,micro_new
17,plads,space,Is there enough space left in the car for this box?,Er der plads nok tilbage i bilen til denne kasse?,5,micro_new
18,glemme,forget,Please don't forget your guitar picks before you leave.,"Glem venligst ikke dine guitarplektre, før du tager af sted.",5,micro_new
