item_id,l1_text,l2_text,start_time_ms,end_time_ms
1,L1 Sentence 1,L2 Sentence 1,0,2803
2,L1 Sentence 2,L2 Sentence 2,3803,6606
3,L1 Sentence 3,L2 Sentence 3,7606,10409
4,L1 Sentence 4,L2 Sentence 4,11409,14212
5,L1 Sentence 5,L2 Sentence 5,15212,18015
6,L1 Sentence 6,L2 Sentence 6,19015,21818
7,L1 Sentence 7,L2 Sentence 7,22818,25621
8,L1 Sentence 8,L2 Sentence 8,26621,29424
9,L1 Sentence 9,L2 Sentence 9,30424,33227
10,L1 Sentence 10,L2 Sentence 10,34227,37127
11,L1 Sentence 11,L2 Sentence 11,38127,41027
12,L1 Sentence 12,L2 Sentence 12,42027,44927
13,L1 Sentence 13,L2 Sentence 13,45927,48827
14,L1 Sentence 14,L2 Sentence 14,49827,52727
15,L1 Sentence 15,L2 Sentence 15,53727,56627
16,L1 Sentence 16,L2 Sentence 16,57627,60527
17,L1 Sentence 17,L2 Sentence 17,61527,64427
18,L1 Sentence 18,L2 Sentence 18,65427,68327
19,L1 Sentence 19,L2 Sentence 19,69327,72227
20,L1 Sentence 20,L2 Sentence 20,73227,76127
21,L1 Sentence 21,L2 Sentence 21,77127,80027
22,L1 Sentence 22,L2 Sentence 22,81027,83927
23,L1 Sentence 23,L2 Sentence 23,84927,87827
24,L1 Sentence 24,L2 Sentence 24,88827,91727
25,L1 Sentence 25,L2 Sentence 25,92727,95627
