sequence,W2,W1,L1,L2,StudyDay,type
1,øve,practice,I try to practice guitar scales every day.,Jeg forsøger at øve guitar skalaer hver dag.,1,micro_new
2,pension,retirement,He took early retirement last year to travel.,Han gik tidligt på pension sidste år for at rejse.,1,micro_new
3,forbedre,improve,I want to improve my skills in spontaneous jamming.,Jeg ønsker at forbedre mine evner i spontan jamming.,1,micro_new
4,øve,practice,I try to practice guitar scales every day.,Jeg forsøger at øve guitar skalaer hver dag.,1,micro_new
5,bøf,steak,"My favorite meal is a thick, well-seasoned ribeye steak","Mit yndlingsmåltid er en tyk, velkrydret ribeye bøf",1,micro_new
6,pension,retirement,He took early retirement last year to travel.,Han gik tidligt på pension sidste år for at rejse.,1,micro_new
7,dagligvare,grocery,We need to buy basic groceries for the week.,Vi er nødt til at købe basale dagligvarer til ugen.,1,micro_new
8,forbedre,improve,I want to improve my skills in spontaneous jamming.,Jeg ønsker at forbedre mine evner i spontan jamming.,1,micro_new
9,bøf,steak,"My favorite meal is a thick, well-seasoned ribeye steak","Mit yndlingsmåltid er en tyk, velkrydret ribeye bøf",1,micro_new
10,dagligvare,grocery,We need to buy basic groceries for the week.,Vi er nødt til at købe basale dagligvarer til ugen.,1,micro_new
11,øve,practice,I try to practice guitar scales every day.,Jeg forsøger at øve guitar skalaer hver dag.,1,micro_new
12,pension,retirement,He took early retirement last year to travel.,Han gik tidligt på pension sidste år for at rejse.,1,micro_new
13,forbedre,improve,I want to improve my skills in spontaneous jamming.,Jeg ønsker at forbedre mine evner i spontan jamming.,1,micro_new
14,bøf,steak,"My favorite meal is a thick, well-seasoned ribeye steak","Mit yndlingsmåltid er en tyk, velkrydret ribeye bøf",1,micro_new
15,dagligvare,grocery,We need to buy basic groceries for the week.,Vi er nødt til at købe basale dagligvarer til ugen.,1,micro_new
