item_id,l1_text,l2_text,start_time_ms,end_time_ms
26,L1 Sentence 26,L2 Sentence 26,0,2900
27,L1 Sentence 27,L2 Sentence 27,3900,6800
28,L1 Sentence 28,L2 Sentence 28,7800,10700
29,L1 Sentence 29,L2 Sentence 29,11700,14600
30,L1 Sentence 30,L2 Sentence 30,15600,18500
31,L1 Sentence 31,L2 Sentence 31,19500,22400
32,L1 Sentence 32,L2 Sentence 32,23400,26300
33,L1 Sentence 33,L2 Sentence 33,27300,30200
34,L1 Sentence 34,L2 Sentence 34,31200,34100
35,L1 Sentence 35,L2 Sentence 35,35100,38000
36,L1 Sentence 36,L2 Sentence 36,39000,41900
37,L1 Sentence 37,L2 Sentence 37,42900,45800
38,L1 Sentence 38,L2 Sentence 38,46800,49700
39,L1 Sentence 39,L2 Sentence 39,50700,53600
40,L1 Sentence 40,L2 Sentence 40,54600,57500
41,L1 Sentence 41,L2 Sentence 41,58500,61400
42,L1 Sentence 42,L2 Sentence 42,62400,65300
43,L1 Sentence 43,L2 Sentence 43,66300,69200
44,L1 Sentence 44,L2 Sentence 44,70200,73100
45,L1 Sentence 45,L2 Sentence 45,74100,77000
46,L1 Sentence 46,L2 Sentence 46,78000,80900
47,L1 Sentence 47,L2 Sentence 47,81900,84800
48,L1 Sentence 48,L2 Sentence 48,85800,88700
49,L1 Sentence 49,L2 Sentence 49,89700,92600
50,L1 Sentence 50,L2 Sentence 50,93600,96500
